"num","carat","cut","color","clarity","depth","table","price","x","y","z"
27404,2.24,"Ideal","F","SI2",60.3,59,17989,8.47,8.5,5.12
7930,1.01,"Fair","F","SI2",65.3,59,4317,6.28,6.24,4.09
49502,0.55,"Ideal","D","VS1",61.8,55,2119,5.29,5.32,3.28
36411,0.31,"Ideal","E","VS1",61.6,56,942,4.38,4.35,2.69
19668,1.12,"Ideal","D","VS2",62,55,8279,6.63,6.66,4.12
41777,0.42,"Very Good","E","VS1",62.8,57.8,1247,4.8,4.83,3.03
49698,0.62,"Very Good","E","VS1",60.1,56,2147,5.56,5.58,3.35
18905,1.71,"Premium","J","SI1",61.9,58,7757,7.62,7.56,4.7
48963,0.34,"Premium","H","VS2",61.3,60,537,4.47,4.53,2.76
51212,0.71,"Premium","H","VS2",62.2,59,2352,5.68,5.64,3.52
7465,0.9,"Premium","F","VS2",58.7,59,4234,6.34,6.3,3.71
18817,1.61,"Very Good","J","VS2",61.7,59,7703,7.46,7.51,4.62
31121,0.34,"Good","E","VS2",57.8,64,754,4.6,4.61,2.66
20725,0.31,"Very Good","F","VS2",61.4,55,625,4.32,4.34,2.66
24709,0.38,"Ideal","G","SI1",61.9,56,639,4.64,4.67,2.88
28035,0.3,"Ideal","E","VS2",62.5,56,658,4.28,4.3,2.68
4671,0.76,"Ideal","G","VVS1",62,54.7,3671,5.83,5.87,3.62
38370,0.53,"Very Good","J","VS2",60.9,59,1023,5.2,5.27,3.19
26252,2.05,"Very Good","H","VS2",63.5,62,15701,8.05,7.91,5.07
23181,1.6,"Premium","G","SI1",62.4,61,11189,7.43,7.4,4.63
20133,1.55,"Premium","J","VS1",62.6,59,8593,7.35,7.4,4.62
5973,0.9,"Very Good","F","SI1",62.3,55,3950,6.14,6.18,3.84
4323,1.01,"Fair","F","SI2",60.1,66,3597,6.44,6.41,3.86
34939,0.27,"Good","E","VS1",57.5,63,377,4.24,4.28,2.45
5628,0.71,"Premium","D","VVS2",60.4,59,3877,5.73,5.69,3.45
36344,0.39,"Premium","G","SI1",61.4,56,936,4.75,4.7,2.9
38488,0.42,"Very Good","F","VS1",59.9,61,1031,4.84,4.88,2.91
11513,1.03,"Ideal","D","SI2",62.5,55,5021,6.41,6.48,4.03
42499,0.52,"Ideal","D","SI2",60.7,56,1320,5.22,5.25,3.18
27256,2.02,"Very Good","H","SI1",63.4,60,17672,7.96,8.04,5.07
8647,1,"Premium","F","SI2",61.3,61,4452,6.39,6.36,3.91
49626,0.3,"Premium","H","SI1",61.3,61,540,4.27,4.25,2.61
43472,0.59,"Ideal","D","SI2",62.4,58,1419,5.35,5.39,3.35
31249,0.4,"Ideal","I","VVS2",62,54,758,4.74,4.77,2.95
43719,0.52,"Very Good","E","SI1",59.3,59,1438,5.26,5.3,3.13
47827,0.55,"Ideal","H","IF",62.3,54,1905,5.25,5.28,3.28
37525,0.39,"Ideal","F","VVS2",61.2,56,987,4.7,4.75,2.89
35530,0.46,"Ideal","E","SI1",62,54,905,4.97,4.99,3.09
39076,0.4,"Ideal","F","VS2",62,59,1059,4.77,4.71,2.95
49791,0.73,"Premium","G","SI1",60.8,58,2163,5.82,5.85,3.55
33074,0.32,"Ideal","H","IF",62.1,54,814,4.41,4.45,2.75
561,0.79,"Ideal","G","SI1",61.8,56,2831,5.93,5.91,3.66
28600,0.3,"Ideal","G","VS2",62.2,57,675,4.32,4.26,2.67
48619,0.7,"Very Good","H","SI2",61.5,63,1999,5.63,5.59,3.45
46845,0.64,"Premium","E","SI1",61.3,58,1811,5.57,5.53,3.4
14045,0.41,"Ideal","G","SI2",61.3,56,605,4.78,4.81,2.94
10456,1,"Ideal","H","SI1",60.3,56,4788,6.54,6.52,3.94
1732,0.32,"Very Good","E","SI1",60.1,60,561,4.42,4.47,2.67
7315,1.02,"Premium","H","SI2",60.9,59,4207,6.46,6.51,3.95
3061,0.7,"Good","F","VVS1",63.3,56,3310,5.64,5.7,3.59
18354,1.01,"Good","E","VS1",63.6,54,7466,6.38,6.32,4.04
5908,0.81,"Ideal","F","VS1",61.5,55,3933,6.01,5.96,3.68
2247,1.02,"Ideal","I","VS2",62.8,57,3148,6.45,6.39,4.03
46962,0.37,"Fair","F","SI1",65.3,56,527,4.53,4.47,2.94
35263,0.3,"Good","G","IF",63.8,55,895,4.24,4.28,2.72
28506,0.3,"Ideal","G","VS1",61.1,56,673,4.36,4.35,2.66
15042,0.3,"Ideal","G","VS1",61.9,56,605,4.29,4.34,2.67
44589,0.59,"Ideal","E","SI1",62,57,1607,5.36,5.39,3.33
9094,1.2,"Premium","G","SI2",61.8,60,4524,6.85,6.78,4.21
52562,0.7,"Ideal","G","VS2",62.1,57,2536,5.66,5.7,3.53
389,0.7,"Good","E","SI1",63.5,59,2812,5.49,5.53,3.5
19879,1.12,"Good","F","VVS2",57.9,57,8430,6.86,6.83,3.96
20620,1.51,"Very Good","I","VS1",61.1,63,8918,7.38,7.32,4.49
2542,0.75,"Ideal","E","VS2",61.7,56,3206,5.84,5.86,3.61
18528,1.03,"Ideal","F","VS2",60.2,54,7550,6.64,6.61,3.99
37612,0.24,"Very Good","E","VVS1",61.5,59,485,3.99,4.01,2.46
12680,1.15,"Ideal","H","SI2",62.5,58,5306,6.65,6.69,4.17
34341,0.3,"Ideal","E","VVS1",62,58,862,4.28,4.3,2.66
14979,1.14,"Premium","F","SI1",61.1,59,6033,6.75,6.7,4.11
2031,0.9,"Very Good","H","SI2",63.4,60,3105,6.08,6.03,3.84
25765,2.03,"Good","H","SI2",59.6,61,14720,8.16,8.21,4.88
10049,0.31,"Ideal","I","SI1",62.2,56,418,4.34,4.37,2.71
33593,0.37,"Premium","G","VS2",60.1,59,833,4.68,4.64,2.8
48841,0.55,"Ideal","D","VS2",61.8,54,2030,5.29,5.26,3.26
32254,0.3,"Premium","E","VVS2",60.1,59,789,4.32,4.37,2.61
52372,0.52,"Ideal","F","IF",60.3,57,2504,5.23,5.28,3.17
50071,0.71,"Premium","I","VS1",62.5,59,2202,5.75,5.71,3.58
21511,1.73,"Premium","H","SI1",61.8,59,9607,7.71,7.66,4.75
12818,1.01,"Premium","F","SI1",62.2,59,5345,6.41,6.36,3.97
28033,0.3,"Very Good","E","VS2",62.8,56,658,4.28,4.32,2.7
13919,1.09,"Ideal","F","SI1",62,56,5665,6.56,6.61,4.08
4249,0.9,"Premium","D","SI2",58.7,58,3578,6.3,6.28,3.69
20401,1.25,"Ideal","F","VS2",62.8,57,8764,6.87,6.85,4.31
20281,1.5,"Very Good","F","SI2",63.1,63,8702,7.27,7.21,4.57
6744,0.33,"Very Good","G","VS2",60.6,61,579,4.46,4.49,2.71
16807,1.01,"Premium","H","IF",62.1,59,6702,6.47,6.41,4
12509,1.25,"Ideal","I","SI2",61.8,56,5259,6.92,6.94,4.28
24812,2.01,"Premium","H","SI2",61.9,57,13199,8.13,7.96,4.98
33780,0.32,"Premium","D","VS2",62.9,59,842,4.39,4.36,2.75
7998,1.01,"Premium","G","SI2",62.7,58,4327,6.44,6.38,4.02
8771,0.8,"Very Good","H","VVS1",62.9,58,4468,5.82,5.88,3.68
12657,1.25,"Premium","J","VS2",62.2,59,5299,6.86,6.88,4.27
5687,0.91,"Very Good","H","VS2",61.6,60,3887,6.19,6.21,3.82
618,0.71,"Premium","F","VS1",59.2,58,2839,5.87,5.82,3.46
44650,0.28,"Very Good","G","VVS2",62.5,53,522,4.18,4.21,2.62
46249,0.53,"Premium","D","SI1",61,58,1753,5.22,5.18,3.17
37322,0.32,"Premium","H","IF",61.8,58,979,4.39,4.35,2.7
51614,0.73,"Very Good","E","SI2",59.3,57,2395,5.88,5.95,3.51
40122,0.41,"Very Good","F","VVS2",62.9,54,1115,4.7,4.74,2.97
