"id","person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status"
"38531",26,"female","Bachelor",52378,2,"RENT",7000,"MEDICAL",7.29,0.13,4,679,"No",0
"38532",29,"female","Associate",53849,5,"RENT",16000,"DEBTCONSOLIDATION",11.01,0.3,9,584,"No",1
"38533",31,"female","Associate",44133,11,"OWN",5000,"VENTURE",6.99,0.11,9,635,"Yes",0
"38534",25,"female","High School",22393,1,"RENT",4500,"PERSONAL",13.99,0.2,2,649,"No",1
"38535",30,"female","High School",71703,10,"MORTGAGE",10000,"MEDICAL",8,0.14,9,680,"No",1
"38536",23,"male","Bachelor",74580,1,"RENT",3000,"PERSONAL",12.42,0.04,2,553,"No",0
"38537",30,"female","Master",238948,11,"MORTGAGE",5000,"DEBTCONSOLIDATION",5.79,0.02,6,651,"Yes",0
"38538",29,"female","Bachelor",241050,9,"RENT",16000,"PERSONAL",12.69,0.07,7,613,"Yes",0
"38539",32,"male","Bachelor",101522,6,"RENT",14400,"PERSONAL",11.99,0.14,6,655,"No",0
"385310",25,"female","Bachelor",144867,3,"MORTGAGE",20990,"HOMEIMPROVEMENT",14.26,0.14,3,653,"No",0
"385311",31,"male","Master",48890,7,"MORTGAGE",4750,"DEBTCONSOLIDATION",9.7,0.1,8,698,"Yes",0
"385312",22,"male","High School",58745,0,"RENT",10000,"VENTURE",13.49,0.17,4,527,"Yes",0
"385313",31,"male","Associate",56487,9,"RENT",8875,"MEDICAL",10.77,0.16,9,599,"Yes",0
"385314",28,"female","Bachelor",48954,5,"MORTGAGE",3200,"VENTURE",10.25,0.07,5,632,"Yes",0
"385315",25,"male","Bachelor",91035,0,"RENT",3000,"HOMEIMPROVEMENT",9.36,0.03,3,663,"No",0
"385316",24,"male","Bachelor",70497,0,"RENT",17500,"EDUCATION",13.49,0.25,4,661,"Yes",0
"385317",28,"female","Bachelor",75625,7,"RENT",14000,"VENTURE",10.99,0.19,10,647,"No",0
"385318",29,"male","Bachelor",60848,6,"MORTGAGE",21850,"HOMEIMPROVEMENT",12.42,0.36,10,625,"Yes",0
"385319",23,"female","Associate",20424,0,"RENT",5000,"PERSONAL",12.08,0.24,3,587,"No",1
"385320",23,"male","High School",83739,0,"RENT",9000,"EDUCATION",9.63,0.11,4,575,"No",1
"385321",23,"male","Associate",97009,0,"MORTGAGE",15000,"EDUCATION",9.88,0.15,4,668,"Yes",0
"385322",23,"male","Bachelor",48943,0,"MORTGAGE",4000,"EDUCATION",11.48,0.08,3,572,"Yes",0
"385323",29,"male","Bachelor",241253,9,"RENT",16000,"EDUCATION",12.69,0.07,7,675,"Yes",0
"385324",28,"male","Bachelor",72975,7,"MORTGAGE",3000,"VENTURE",12.41,0.04,7,646,"No",0
"385325",42,"male","Associate",37342,20,"RENT",1500,"VENTURE",12.98,0.04,14,703,"No",0
"385326",23,"female","Bachelor",33392,3,"MORTGAGE",2955,"PERSONAL",10.88,0.09,3,670,"Yes",0
"385327",23,"male","Bachelor",76580,0,"RENT",5000,"EDUCATION",13.23,0.07,4,665,"No",0
"385328",24,"female","Master",54750,0,"RENT",1500,"MEDICAL",7.5,0.03,4,606,"No",0
"385329",24,"female","High School",43963,5,"RENT",2098,"DEBTCONSOLIDATION",15.32,0.05,4,627,"No",1
"385330",22,"male","Bachelor",72823,0,"RENT",5000,"PERSONAL",13.48,0.07,2,635,"Yes",0
"385331",41,"male","High School",65893,15,"MORTGAGE",5000,"HOMEIMPROVEMENT",13.23,0.08,12,599,"No",1
"385332",23,"male","Associate",54934,0,"MORTGAGE",3200,"MEDICAL",6.88,0.06,4,588,"No",0
"385333",22,"male","Associate",29781,2,"MORTGAGE",5000,"EDUCATION",7.9,0.17,2,598,"Yes",0
"385334",23,"male","Bachelor",59147,1,"RENT",6800,"PERSONAL",6.54,0.11,4,574,"No",1
"385335",26,"male","High School",82620,2,"RENT",10700,"EDUCATION",12.42,0.13,4,666,"Yes",0
"385336",24,"male","High School",63144,1,"MORTGAGE",15000,"HOMEIMPROVEMENT",10,0.24,2,641,"Yes",0
"385337",27,"female","Associate",23296,4,"RENT",5000,"EDUCATION",10.38,0.21,7,593,"No",1
"385338",30,"female","High School",118070,5,"MORTGAGE",5448,"DEBTCONSOLIDATION",16.13,0.05,6,601,"No",1
"385339",30,"male","Master",88565,9,"MORTGAGE",15000,"EDUCATION",11.38,0.17,9,616,"Yes",0
"385340",26,"male","Bachelor",46925,4,"RENT",3200,"PERSONAL",13.49,0.07,2,680,"Yes",0
"385341",30,"male","High School",116810,9,"MORTGAGE",6000,"HOMEIMPROVEMENT",5.42,0.05,6,592,"Yes",0
"385342",24,"male","Associate",169804,0,"MORTGAGE",10000,"VENTURE",5.99,0.06,3,498,"Yes",0
"385343",22,"male","Associate",114267,0,"RENT",20000,"PERSONAL",11.01,0.18,2,602,"Yes",0
"385344",23,"male","Associate",51341,0,"RENT",6025,"EDUCATION",9.63,0.12,4,570,"Yes",0
"385345",27,"male","High School",87303,3,"RENT",20000,"VENTURE",8.9,0.23,5,663,"Yes",0
"385346",37,"female","High School",146068,16,"MORTGAGE",4000,"HOMEIMPROVEMENT",7.66,0.03,15,668,"No",0
"385347",28,"male","High School",68218,4,"RENT",20000,"MEDICAL",14.59,0.29,5,554,"No",1
"385348",28,"female","Bachelor",39379,5,"MORTGAGE",8500,"PERSONAL",7.51,0.22,6,652,"No",0
"385349",23,"female","Bachelor",65724,3,"MORTGAGE",8500,"VENTURE",12.42,0.13,2,592,"No",0
"385350",27,"male","Associate",67188,4,"MORTGAGE",9000,"DEBTCONSOLIDATION",7.51,0.13,8,684,"Yes",0
