"num","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
32705,0.31,"Premium","F","VS2",61.5,56,802,4.41,4.34,2.69
11815,1.07,"Premium","G","SI1",61,58,5091,6.66,6.59,4.04
33902,0.3,"Ideal","E","VS2",62.3,57,844,4.3,4.27,2.67
53583,0.6,"Ideal","F","VVS2",60.9,57,2698,5.45,5.48,3.33
17599,1.48,"Premium","I","SI2",61.3,58,7086,7.39,7.32,4.51
47923,0.56,"Premium","G","VS1",60.5,59,1915,5.31,5.26,3.2
40537,0.51,"Ideal","G","SI2",62.1,56,1148,5.1,5.13,3.18
33940,0.27,"Ideal","H","VS1",61.2,54,464,4.2,4.23,2.58
40369,0.5,"Ideal","I","VS1",61.9,54,1130,5.12,5.16,3.18
19238,1.01,"Very Good","G","IF",60,61,7974,6.41,6.45,3.86
4867,0.8,"Ideal","F","VS2",61.2,58,3713,5.99,6.03,3.68
27993,0.3,"Premium","E","VS2",60.4,58,658,4.3,4.34,2.61
27099,2.05,"Premium","E","SI2",59.7,59,17237,8.39,8.27,4.97
50959,1.01,"Very Good","I","SI1",60.9,63,2323,6.51,6.43,3.94
27551,2.5,"Good","J","VS2",62,58,18325,8.63,8.6,5.34
53371,0.67,"Premium","G","VVS2",60.1,60,2658,5.66,5.58,3.38
52460,0.7,"Fair","F","VS2",66.4,53,2516,5.51,5.49,3.65
41649,0.4,"Ideal","E","VVS2",61.7,55,1238,4.76,4.74,2.93
50755,0.72,"Ideal","F","SI2",61.7,55,2298,5.79,5.75,3.56
44556,0.52,"Premium","F","VS2",61.4,62,1605,5.19,5.16,3.18
22089,1.22,"Premium","G","VVS2",62,58,10111,6.9,6.85,4.26
4683,0.71,"Ideal","D","SI1",61.4,56,3674,5.7,5.74,3.51
31388,0.37,"Ideal","D","VS2",61.1,54,763,4.63,4.66,2.84
20887,1.21,"Premium","F","VS1",61.6,59,9107,6.84,6.77,4.19
41408,0.38,"Very Good","D","VVS2",59.1,59.9,1225,4.71,4.75,2.79
39661,0.42,"Ideal","G","VS2",61.8,56,1087,4.84,4.81,2.98
2054,0.32,"Premium","G","VS2",62.6,59,561,4.33,4.36,2.72
9442,0.9,"Ideal","H","VS1",61.6,56,4592,6.17,6.13,3.79
27201,2.01,"Very Good","F","SI2",62.3,63,17514,8.07,7.96,4.99
33159,0.31,"Ideal","H","IF",62.1,54,816,4.33,4.37,2.7
32240,0.38,"Ideal","F","VS2",62.1,53.8,789,4.66,4.67,2.9
37209,0.34,"Ideal","G","IF",61.3,56,974,4.52,4.55,2.78
18589,1.56,"Very Good","I","SI1",62.9,58,7584,7.31,7.35,4.61
7172,0.9,"Fair","F","VS1",66.2,55,4183,6.11,5.97,4
51671,0.72,"Ideal","E","SI2",62.3,54,2398,5.75,5.78,3.59
38972,0.4,"Very Good","E","VS1",62.8,59,1053,4.63,4.67,2.92
6672,0.94,"Premium","E","SI2",62.4,58,4098,6.26,6.33,3.93
12054,0.34,"Premium","G","VS2",61.6,58,596,4.45,4.51,2.76
12578,1.2,"Premium","H","SI2",62.5,58,5280,6.76,6.81,4.24
20056,0.31,"Very Good","F","VS2",61.4,62,625,4.32,4.34,2.66
36714,0.42,"Ideal","E","SI1",62.1,55,953,4.81,4.79,2.98
29562,0.41,"Good","E","SI1",63.6,58,705,4.72,4.74,3.01
48017,0.63,"Premium","H","VS1",62.9,60,1921,5.45,5.33,3.39
31954,0.31,"Ideal","I","VS2",61.6,57,452,4.36,4.4,2.7
47884,0.56,"Very Good","G","VS1",59.9,60,1912,5.37,5.41,3.23
6395,0.92,"Very Good","F","SI1",62.7,57,4037,6.14,6.2,3.87
44940,0.56,"Ideal","G","SI1",61.2,54,1633,5.36,5.32,3.27
30940,0.24,"Very Good","H","VVS1",61.3,56,449,4.01,4.04,2.46
16522,1.31,"Premium","H","SI2",61.4,59,6602,6.99,6.96,4.28
8895,1.08,"Premium","F","SI2",60.2,59,4488,6.65,6.6,3.99
36884,0.4,"Very Good","E","VS1",62.9,56,959,4.67,4.71,2.95
45348,0.59,"Very Good","G","VS2",61.1,57,1664,5.4,5.43,3.31
13664,1.01,"Very Good","H","VS1",62,60,5593,6.43,6.38,3.97
34747,0.41,"Premium","H","SI1",62.6,59,876,4.77,4.72,2.97
50120,0.5,"Ideal","F","VVS2",61.3,59,2210,5.05,5.1,3.11
47603,0.52,"Ideal","G","VVS2",61.2,55,1878,5.22,5.2,3.19
52115,0.72,"Very Good","H","VS2",61.4,57,2462,5.75,5.79,3.54
27896,0.39,"Ideal","E","I1",62.8,57,655,4.66,4.61,2.91
25783,2.01,"Premium","I","SI1",60.1,59,14752,8.21,8.15,4.92
36546,0.4,"Good","F","SI1",63.6,57,945,4.7,4.67,2.98
33184,0.41,"Very Good","D","SI2",63.1,54,818,4.75,4.72,2.99
50300,0.32,"Very Good","J","VVS1",60.2,60,544,4.42,4.49,2.68
18699,0.3,"Good","E","VS2",64.2,57,619,4.24,4.13,2.69
34387,0.41,"Premium","F","VS2",60.3,60,863,4.81,4.84,2.91
13778,1.27,"Premium","J","VS1",62.6,59,5618,6.92,6.88,4.32
48516,0.58,"Premium","G","VS1",61.5,58,1984,5.41,5.35,3.31
5162,0.9,"Very Good","F","SI2",61.4,62,3770,6.11,6.2,3.78
48283,0.53,"Ideal","D","VS2",62.3,56,1956,5.17,5.14,3.21
20188,1.12,"Premium","D","VS1",62.1,57,8633,6.68,6.65,4.14
27067,2.56,"Premium","J","SI1",61.4,58,17186,8.76,8.73,5.37
11720,0.34,"Ideal","E","SI1",61.4,54,596,4.5,4.53,2.77
41514,0.44,"Ideal","G","VVS1",61.8,55,1235,4.86,4.91,3.02
37005,0.3,"Ideal","D","VVS2",62.9,56,965,4.29,4.27,2.69
27575,2.01,"Very Good","G","SI1",62.1,60,18398,7.94,8.03,4.96
21352,1.73,"Premium","F","SI2",61.5,60,9494,7.75,7.66,4.74
43024,0.53,"Ideal","G","SI1",60.7,56,1371,5.22,5.27,3.18
48747,0.56,"Premium","F","SI1",62.7,59,2016,5.27,5.22,3.29
34721,0.39,"Very Good","G","VVS2",62.1,55,875,4.67,4.7,2.91
11988,1.03,"Ideal","G","SI1",60.3,58,5143,6.57,6.62,3.98
1299,0.71,"Very Good","E","VS2",59.6,60,2954,5.8,5.85,3.47
47788,0.67,"Good","F","SI1",60.2,61,1897,5.64,5.69,3.41
24125,2.36,"Good","J","SI2",58.9,64,12286,8.75,8.68,5.14
45745,0.52,"Good","D","VS2",63.5,57,1701,5.08,5.13,3.24
38851,0.4,"Premium","G","VVS2",58.9,58,1050,4.84,4.8,2.84
50910,0.7,"Fair","D","SI1",64.6,57,2318,5.6,5.57,3.61
1264,0.9,"Premium","I","SI1",60.9,56,2947,6.26,6.21,3.8
46563,0.53,"Ideal","D","VS2",61.4,56,1783,5.21,5.18,3.19
21029,1.5,"Very Good","F","SI2",58.5,55,9236,7.51,7.56,4.41
1863,0.9,"Good","G","SI2",63.7,62,3067,6.01,6.07,3.85
39501,0.33,"Ideal","E","IF",60.8,57,1079,4.44,4.47,2.71
5108,0.72,"Ideal","F","VS1",60.7,57,3759,5.79,5.87,3.54
27718,0.32,"Ideal","I","VS1",60.9,56,648,4.46,4.44,2.71
33307,0.28,"Ideal","D","VVS2",61.1,55,827,4.23,4.28,2.6
20540,1.01,"Ideal","F","VS1",61.8,57,8860,6.41,6.46,3.98
47615,0.55,"Ideal","F","VS1",61.9,56,1881,5.25,5.29,3.26
37684,0.38,"Ideal","G","VVS1",61.9,56,993,4.67,4.7,2.9
947,0.7,"Very Good","E","VS2",63.5,54,2889,5.62,5.66,3.58
52144,0.7,"Ideal","I","VS1",61.8,55,2469,5.67,5.72,3.52
1840,0.72,"Ideal","D","SI1",61.5,56.5,3062,5.76,5.79,3.55
2165,0.7,"Very Good","D","VS2",61.2,60,3131,5.73,5.77,3.52
39687,0.4,"Very Good","F","VVS2",62.8,56,1088,4.69,4.73,2.96
